experiment_id;success;roi;winrate;total_profit;total_invested;total_bets;total_wins;avg_profit_per_bet;max_drawdown;sharpe_ratio;sortino_ratio;profit_factor;calmar_ratio;volatility;avg_bet_size;bet_frequency;max_consecutive_losses;composite_score;param_confidence_threshold;param_min_edge_required;param_max_bet_rate;param_max_bet_amount;param_use_kelly_criterion;param_kelly_fraction;param_no_bet_reward_multiplier;param_draw_penalty_multiplier;param_global_timesteps;param_learning_rate
1;True;-0.05988723500225529;0.405;-132.76999999999998;2217.0;200;81;-0.6638499999999999;220.79;-0.16042082368955887;-0.2576504544726299;0.8968376068376068;0.0;33.10542782324373;11.085;8.0;12;0.07956001441978042;0.55;0.0;0.4;30;False;0.25;0.5;1.5;1000000;0.0001
2;True;-0.13205858940558116;0.4437869822485207;-233.91670000000002;1771.3100000000004;169;75;-1.3841224852071008;195.25670000000002;-0.3643155004390162;-0.6729016445527545;0.7364742451154529;0.0;25.68287099704735;10.481124260355031;6.76;12;0.04332933609529355;0.6;0.02;0.4;20;True;0.25;0.5;1.5;1000000;0.0001
3;True;-0.0782265774378585;0.39106145251396646;-163.65;2092.0;179;70;-0.9142458100558659;146.10000000000002;-0.16801825999329972;-0.28269542315902063;0.8650865622423742;0.0;38.9600511293299;11.687150837988828;7.16;14;0.06957901434673991;0.6;0.05;0.4;30;False;0.25;0.5;1.5;1000000;0.0001
4;True;-0.07354776589949985;0.42857142857142855;-133.67379999999997;1817.51;175;75;-0.7638502857142856;328.5868;-0.1342990212185074;-0.2510311240033099;0.8256832027850305;0.0;39.81378234544535;10.385771428571429;7.0;14;0.07998114426906117;0.55;0.05;0.3;20;True;0.25;0.5;1.5;1000000;0.0001
5;True;-0.031237113402061846;0.4896907216494845;-60.59999999999998;1940.0;194;95;-0.31237113402061845;111.9;-0.10304697300453622;-0.1661865879545595;0.8946557659208263;0.0;23.523252836289462;10.0;7.76;11;0.10980162142292789;0.55;0.0;0.4;10;True;0.25;0.5;1.5;1000000;0.0001
6;True;-0.01395721925133689;0.48128342245989303;-26.099999999999984;1870.0;187;90;-0.1395721925133689;99.30000000000001;-0.039974409452793284;-0.07164485524787458;0.8778583333333334;0.0;26.116708521557612;10.0;7.48;8;0.1190502623732892;0.65;0.02;0.3;10;True;0.25;0.5;1.5;1000000;0.0001
7;True;-0.08306666666666668;0.4;-124.60000000000001;1500.0;150;60;-0.8306666666666668;148.50000000000003;-0.18174191349076935;-0.41824471633751087;0.7914708691499523;0.0;27.423503496088898;10.0;6.0;15;0.06631720284743432;0.65;0.02;0.3;10;False;0.25;0.5;1.5;1000000;0.0001
8;True;-0.17824247710423025;0.35960591133004927;-408.7099999999999;2293.0;203;73;-2.013349753694581;473.42999999999995;-0.39091510097690013;-0.6774500380735332;0.7175466482377332;0.0;41.82084539365506;11.295566502463053;8.12;11;0.009790402327923543;0.55;0.05;0.3;30;False;0.25;0.5;1.5;1000000;0.0001
9;True;0.14317204301075268;0.478494623655914;266.29999999999995;1860.0;186;89;1.4317204301075266;72.4;0.2779510140701302;0.6358499661005959;1.1951135331516802;0.0019775144062258655;38.32329964916904;10.0;7.44;7;0.24305023991197544;0.65;0.05;0.4;10;False;0.25;0.5;1.5;1000000;0.0001
10;True;0.022930956486392578;0.5104895104895105;34.97590000000001;1525.2700000000002;143;73;0.24458671328671336;169.26069999999999;0.04724822121621302;0.06773690778708506;1.011942528735632;0.00013547714552989904;29.610342230617732;10.666223776223777;5.72;12;0.1466459584363587;0.65;0.02;0.3;20;True;0.25;0.5;1.5;1000000;0.0001
11;True;-0.031744186046511615;0.5;-54.59999999999998;1720.0;172;86;-0.3174418604651162;166.39999999999998;-0.10045716067212959;-0.15622137829911245;0.9051342975206611;0.0;21.740610479009096;10.0;6.88;7;0.11227645738072442;0.6;0.02;0.4;10;False;0.25;0.5;1.5;1000000;0.0001
12;True;-0.10851569506726456;0.4787234042553192;-241.98999999999998;2230.0;188;90;-1.2871808510638296;190.28999999999996;-0.4101963586569573;-0.6464794300418438;0.7747424511545293;0.0;23.597479099259736;11.861702127659575;7.52;10;0.054831690814622344;0.65;0.0;0.4;20;False;0.25;0.5;1.5;1000000;0.0001
13;True;0.011545284082412084;0.45121951219512196;20.072400000000002;1738.5800000000002;164;74;0.12239268292682928;116.29530000000001;0.024446335183288932;0.06823891804961793;0.9520111214087118;9.927558622241898e-05;32.84320508494237;10.60109756097561;6.56;10;0.1274783863093125;0.55;0.02;0.4;20;True;0.25;0.5;1.5;1000000;0.0001
14;True;0.06987471969640965;0.5181347150259067;141.7793;2029.05;193;100;0.7346077720207255;130.3928;0.2348665449922628;0.3451930350026653;1.0818625678119351;0.0005358786658190457;24.146359372667675;10.51321243523316;7.72;7;0.18022365659052397;0.55;0.0;0.4;30;True;0.25;0.5;1.5;1000000;0.0001
15;True;-0.08330174563591022;0.43820224719101125;-167.02;2005.0;178;78;-0.9383146067415731;278.24;-0.20423673511843077;-0.32009564835007287;0.8411743772241993;0.0;32.711059526710535;11.264044943820224;7.12;12;0.07366934372836662;0.6;0.0;0.3;20;False;0.25;0.5;1.5;1000000;0.0001
16;True;-0.19216560509554137;0.34394904458598724;-301.69999999999993;1570.0;157;54;-1.9216560509554135;348.99999999999994;-0.43437492462985544;-0.6980984962577925;0.682148612354521;0.0;27.782450863809697;10.0;6.28;18;-0.002319495918802199;0.55;0.05;0.3;10;False;0.25;0.5;1.5;1000000;0.0001
17;True;-0.0753114473585089;0.4438202247191011;-139.9603000000001;1858.4199999999998;178;79;-0.7862938202247197;201.05230000000003;-0.16761935083485666;-0.36922907119451076;0.8440017667844523;0.0;33.399556627061024;10.440561797752808;7.12;10;0.08033572372617792;0.6;0.02;0.3;20;True;0.25;0.5;1.5;1000000;0.0001
18;True;0.00536909757704337;0.4918032786885246;10.350599999999979;1927.8099999999997;183;90;0.0565606557377048;107.74480000000001;0.009922000140461707;0.026331504901051676;0.9582895927601811;4.9831616718796356e-05;41.72787685333899;10.53448087431694;7.32;10;0.13274120478119578;0.55;0.02;0.3;30;True;0.25;0.5;1.5;1000000;0.0001
19;True;-0.09508795074758132;0.4631578947368421;-216.22999999999993;2274.0;190;88;-1.138052631578947;207.70999999999992;-0.23169632330229595;-0.32509721900897476;0.8158177172061328;0.0;37.32989749999322;11.968421052631578;7.6;8;0.07199109068810713;0.55;0.05;0.4;30;False;0.25;0.5;1.5;1000000;0.0001
20;True;0.022279792746114004;0.47668393782383417;43.00000000000003;1930.0;193;92;0.22279792746114005;168.29999999999998;0.05337241235868956;0.13886864943510185;0.9854810996563573;0.00013238141857465244;32.22638670406597;10.0;7.72;7;0.13931779640703706;0.55;0.02;0.4;10;True;0.25;0.5;1.5;1000000;0.0001
21;True;0.11816666666666663;0.425;141.79999999999995;1200.0;120;51;1.1816666666666662;106.5;0.17627195818246202;0.345307758645472;1.108827238335435;0.0011095461658841936;32.177551429529245;10.0;4.8;20;0.172100237793053;0.65;0.02;0.4;10;False;0.25;0.5;1.5;1000000;0.0001
22;True;-0.03628415300546452;0.4426229508196721;-66.40000000000006;1830.0;183;81;-0.36284153005464514;260.8;-0.06906192648361414;-0.10658990733341482;0.8735035211267607;0.0;38.45823792115286;10.0;7.32;11;0.10100096775955258;0.65;0.0;0.4;10;False;0.25;0.5;1.5;1000000;0.0001
23;True;-0.05472527472527472;0.5054945054945055;-99.6;1820.0;182;92;-0.5472527472527472;82.0;-0.17801961448298015;-0.3112038530240212;0.807946505608283;0.0;22.379556385236953;10.0;7.28;11;0.12377790099467978;0.65;0.0;0.4;10;True;0.25;0.5;1.5;1000000;0.0001
24;True;-0.03365281777046484;0.47715736040609136;-81.81000000000003;2431.0;197;94;-0.41527918781725903;182.57000000000002;-0.09425037420461999;-0.20183195572399237;0.9335418359057677;0.0;34.720286551812904;12.34010152284264;7.88;7;0.10859949009655273;0.65;0.02;0.3;30;False;0.25;0.5;1.5;1000000;0.0001
25;True;-0.1203030303030303;0.46060606060606063;-198.5;1650.0;165;76;-1.2030303030303031;208.2;-0.3639124842243025;-0.54848225785661;0.7709065155807365;0.0;21.818432574316606;10.0;6.6;11;0.05140114653096905;0.6;0.02;0.4;10;True;0.25;0.5;1.5;1000000;0.0001
26;True;-0.06982767538878455;0.47093023255813954;-124.19689999999997;1778.62;172;81;-0.7220749999999998;224.08049999999997;-0.16077531468752623;-0.39125018622732766;0.8634015594541911;0.0;30.8994947990323;10.340813953488372;6.88;13;0.08861985298617173;0.6;0.02;0.4;30;True;0.25;0.5;1.5;1000000;0.0001
27;True;-0.013185685126417246;0.5233160621761658;-26.55029999999998;2013.5700000000004;193;101;-0.1375663212435232;241.04309999999995;-0.031178726527444117;-0.06515002136575888;0.9417145505097313;0.0;34.06207110688744;10.433005181347152;7.72;14;0.1294997647036787;0.65;0.02;0.3;30;True;0.25;0.5;1.5;1000000;0.0001
28;True;-0.08473291837136543;0.47701149425287354;-154.9155;1828.2800000000002;174;83;-0.8903189655172414;249.3125;-0.23983095548747543;-0.5443861059672038;0.8407435653002859;0.0;25.837448662141547;10.507356321839081;6.96;14;0.078021295891885;0.65;0.0;0.4;20;True;0.25;0.5;1.5;1000000;0.0001
29;True;-0.17204678362573103;0.42105263157894735;-294.20000000000005;1710.0;171;72;-1.7204678362573103;270.90000000000003;-0.5819301494962014;-0.8318264208224292;0.678760907504363;0.0;20.222358319444346;10.0;6.84;8;0.0067276756868654905;0.6;0.05;0.4;10;True;0.25;0.5;1.5;1000000;0.0001
30;True;-0.054827268539843384;0.4857142857142857;-119.02999999999999;2171.0;175;85;-0.6801714285714285;143.56;-0.13241240581313124;-0.22635756783427427;0.8899907578558224;0.0;35.95735588944215;12.405714285714286;7.0;9;0.09932666802500394;0.6;0.0;0.4;30;False;0.25;0.5;1.5;1000000;0.0001
31;True;-0.18407232611645324;0.4140625;-249.61679999999996;1356.0800000000002;128;53;-1.9501312499999996;273.12059999999997;-0.3949948494925153;-0.635696690220144;0.630410094637224;0.0;25.277980239054227;10.594375000000001;5.12;16;0.01568823452859523;0.55;0.05;0.3;30;True;0.25;0.5;1.5;1000000;0.0001
32;True;-0.017509090909090894;0.4585635359116022;-38.51999999999997;2200.0;181;83;-0.21281767955801087;302.42999999999995;-0.03455275186752381;-0.0630091531556629;0.9658207630878438;0.0;44.592685581382064;12.154696132596685;7.24;9;0.1157746093568943;0.6;0.02;0.4;30;False;0.25;0.5;1.5;1000000;0.0001
33;True;-0.014682224428997017;0.512987012987013;-29.569999999999993;2014.0;154;79;-0.19201298701298697;105.4;-0.038838754989327304;-0.06268111434126322;0.9669239373601791;0.0;30.454117294054015;13.077922077922079;6.16;14;0.1271869702649322;0.65;0.05;0.4;30;False;0.25;0.5;1.5;1000000;0.0001
34;True;-0.040951101558302;0.4551282051282051;-76.21000000000002;1861.0;156;71;-0.48852564102564117;160.01;-0.11013476774416353;-0.16033509361174988;0.9209439834024896;0.0;27.678816257925487;11.929487179487179;6.24;8;0.1002605460262198;0.55;0.02;0.4;30;False;0.25;0.5;1.5;1000000;0.0001
35;True;0.050947641399341305;0.46808510638297873;98.22959999999999;1928.0499999999997;188;88;0.5224978723404254;249.5242;0.10067589046970311;0.20118879858016714;1.0255930735930736;0.00020417915937348484;39.02805310852879;10.255585106382977;7.52;10;0.15147740702197585;0.65;0.0;0.3;20;True;0.25;0.5;1.5;1000000;0.0001
